ZONING_ID,ZONING,ZONE_FILE,PD_USE,PD_DENSITY,DEV_AS_PD,COLOR_CODE,TOPOLOGY_VALIDATION
1733,A(PD),02083,Res,31,Yes,3,Yes
7384,CN,,,0,,6,Yes
1687,A(PD),91028,Ind,0,,13,Yes
1688,CG,,,0,,7,Yes
1806,A(PD),97039,Res,44.3,Yes,3,Yes
6213,A(PD),01060,Res,41,Yes,3,Yes
1809,CG(PD),84059,Com,0,,7,Yes
1810,A(PD),90010,Res,76.9,Yes,3,Yes
6234,A(PD),93024,Res,16.2,Yes,2,Yes
1716,A(PD),93002,Com,0,,6,Yes
7025,R-1-8,,,0,,1,Yes
2357,A(PD),86019,Com,0,,6,Yes
7030,R-2,08025,,0,,2,Yes
2359,CN,,,0,,6,Yes
5685,R-1-8(PD),75045,Res,7.8,Yes,1,Yes
7027,CO,,,0,,4,Yes
5705,A(PD),94003,Res,15,Yes,2,Yes
2363,R-1-8,,,0,,1,Yes
7028,R-M,08025,,0,,3,Yes
2034,A(PD),89072,Res,12.1,Yes,2,Yes
4411,R-M,,,0,,3,Yes
2441,A(PD),00079,Com,0,,6,Yes
2444,CG,76163,,0,,7,Yes
2055,A(PD),97027,Com,0,,6,Yes
6945,CP,,,0,,5,Yes
6119,A(PD),91053,Res,39.2,Yes,3,Yes
1666,A,,,0,,17,Yes
5782,A(PD),99095,Res,12.5,Yes,2,Yes
3955,A(PD),01099,Res,61,Yes,3,Yes
1717,R-1-8,,,0,,1,Yes
1840,A(PD),79061,Res,8,Yes,1,Yes
1841,R-1-8,,,0,,1,Yes
1842,A(PD),04099,Res,11.2,Yes,2,Yes
1843,A(PD),78032,Res,12,Yes,2,Yes
1844,A(PD),04092,Res,8.4,Yes,2,Yes
5003,R-M,,,0,,3,Yes
2023,CN,,,0,,6,Yes
2024,LI,,,0,,14,Yes
7197,R-M,,,0,,3,Yes
2026,R-1-8,,,0,,1,Yes
2122,A(PD),05101,Mix,178.5,Yes,18,Yes
2123,CG,,,0,,7,Yes
7208,A(PD),92025,Res,9.8,Yes,2,Yes
2423,A(PD),82023,Res,24.7,Yes,2,Yes
2424,R-M,80031,,0,,3,Yes
2056,A(PD),97027,Res,26,Yes,3,Yes
4244,LI,,,0,,14,Yes
4249,R-2,,,0,,2,Yes
5792,CP,,,0,,5,Yes
1763,A(PD),04042,Res,8.3,Yes,2,Yes
3966,R-1-8,,,0,,1,Yes
6677,R-1-8(PD),70188,Com,0,,6,Yes
6678,A(PD),89117,Com,0,,6,Yes
1682,R-M,,,0,,3,Yes
1799,CG,,,0,,7,Yes
1800,DC-NT1,03072,,0,,9,Yes
1801,DC-NT1,03072,,0,,9,Yes
1881,CO(PD),73098,Com,0,,4,Yes
7209,R-2,,,0,,2,Yes
1883,CG,,,0,,7,Yes
7210,R-M,,,0,,3,Yes
1885,IP,,,0,,13,Yes
1886,IP,,,0,,13,Yes
7211,LI,,,0,,14,Yes
3954,A(PD),94029,Res,25.2,Yes,3,Yes
8100,R-M,,,0,,3,Yes
2425,CG,62106,,0,,7,Yes
6105,R-M,59005,,0,,3,Yes
2427,R-1-2,,,0,,1,Yes
6115,A(PD),97014,Res,12,Yes,2,Yes
2430,A(PD),96054,Res,15.2,Yes,2,Yes
2431,CN,89068,,0,,6,Yes
2432,A(PD),00037,Res,16.1,Yes,2,Yes
2433,A(PD),00027,Res,14.3,Yes,2,Yes
2048,LI,,,0,,14,Yes
5834,R-1-8,,,0,,1,Yes
2001,A(PD),91020,PQP,0,,16,Yes
2002,A(PD),78218,Ind,0,,13,Yes
2004,IP,06006,,0,,13,Yes
2100,IP,,,0,,13,Yes
2134,A(PD),97056,Res,41,Yes,3,Yes
2136,LI,,,0,,14,Yes
2137,A(PD),83046,Com,0,,6,Yes
2138,CP,,,0,,5,Yes
2140,CO,,,0,,4,Yes
1710,A(PD),90103,Res,18.1,Yes,2,Yes
1711,LI,,,0,,14,Yes
6387,A(PD),06101,Res,7.7,Yes,1,Yes
1831,CN,,,0,,6,Yes
1832,A(PD),81150,Res,4,Yes,1,Yes
1834,A(PD),88119,Com,0,,6,Yes
1836,A(PD),86045,Res,5.2,Yes,1,Yes
4076,A(PD),01084,Res,7,Yes,1,Yes
4077,R-M,,,0,,3,Yes
1871,CP,04020,,0,,5,Yes
1773,A(PD),89001,Res,13.8,Yes,2,Yes
1774,A(PD),00012,Res,45.1,Yes,3,Yes
4792,CG,,,0,,7,Yes
1903,CN,,,0,,6,Yes
8189,LI,,,0,,14,Yes
1906,A(PD),03016,Mix,154,Yes,18,Yes
1907,A(PD),96005,Mix,119,Yes,18,Yes
1908,R-2,04019,,0,,2,Yes
8186,PQP,,,0,,16,Yes
7155,LI(PD),71135,Ind,0,,14,Yes
2877,A(PD),05038,Res,17.2,Yes,2,Yes
2878,R-2,,,0,,2,Yes
5836,CO,,,0,,4,Yes
5145,R-1-8,,,0,,1,Yes
