STM_OTF_ID,COMPKEY,COMPTYPE,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,FLAP_BRAND,AGENCY,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,LONG_NAD83,LAT_NAD83,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
2426,,87,Flapgate,,,,EXISTING,,,San Jose,35D,Coyote Creek,Coyote,-121.918717,37.402113,,C2,0,DD-2063,,20100505000000,,20111020104031,20110925151745,MRF: MGE indicates FLAPGATE as 'Y' but cannot find record in CSJ  Flapgates List-2011.xls
2427,,87,Pipe,,,,EXISTING,,,San Jose,36C,Lower Penitencia Creek,Lower Penitencia,-121.900557,37.404278,,C2,0,DD-0679,,20100528000000,,20110916122545,20110107134605,MRF: MGE indicates FLAPGATE as 'Y' but cannot find record in CSJ  Flapgates List-2011.xls
2294,,87,Flapgate,,,,EXISTING,Waterman,,San Jose,85C,Thompson Creek,Coyote,-121.802566,37.317695,,C2,0,DD-0361,,20040414000000,,20110916122545,20110325143901,
2297,,87,Pipe,,,,EXISTING,,,San Jose,85B,Ruby Creek,Coyote,-121.781044,37.340612,,C2,0,DD-0403,,20040417000000,,20110916122545,20110325143902,
2298,,87,Riprap,,,,EXISTING,,,San Jose,85B,Ruby Creek,Coyote,-121.781288,37.340212,,C2,0,DD-0403,,20040417000000,,20110916122545,20110325143903,
2301,,87,Flapgate,,,,EXISTING,Armco,,San Jose,85C,Thompson Creek,Coyote,-121.803225,37.318785,,C2,0,DD-0406,,20080328000000,,20110916122545,20110325143904,
2302,,87,Riprap,,,,EXISTING,,,San Jose,69A,South Babb Creek,Coyote,-121.804011,37.361913,,C2,0,DD-0411,,20040511000000,,20110916122545,20110325143905,
2303,,87,Riprap,,,,EXISTING,,,San Jose,69C,South Babb Creek,Coyote,-121.80677,37.35643,,C2,0,DD-0413,,20040512000000,,20110916122545,20110325143906,
2318,,87,Riprap,,,,EXISTING,,,San Jose,68A,Lower Silver Creek,Coyote,-121.861888,37.358826,,C2,-1,3-13556,,20010102000000,,20110916122545,20110325143907,
2338,,87,Pipe,,,,EXISTING,,,San Jose,85A,Lower Silver Creek,Coyote,-121.810361,37.339497,,C2,-1,DD-2594,,20080327000000,,20110916122545,20110325143907,
2339,,87,Pipe,,,,EXISTING,,,San Jose,85A,Ruby Creek,Coyote,-121.803313,37.337895,,C2,0,DD-2418,,20080401000000,,20110916122545,20110325143908,
2351,,87,Concrete,,,,EXISTING,,,San Jose,52C,Upper Penitencia Creek,Coyote,-121.861687,37.37212,,C2,0,1-4862,,20080419000000,,20110916122545,20110325143910,MRF:Can't locate the Outfall from Google Earth or Orthophoto
2354,,87,Pipe,,,,EXISTING,,,San Jose,52B,Upper Penitencia Creek,Coyote,-121.816515,37.392158,,C2,0,DD-2185,,20080423000000,,20110916122545,20110325143910,MRF:Can't locate the outfall from Google Earth or Orthophoto
2355,,87,Pipe,,,,EXISTING,,,San Jose,52B,Upper Penitencia Creek,Coyote,-121.816053,37.392059,,C2,0,DD-2186,,20080423000000,,20110916122545,20110325143911,MRF:Can't locate the outfall from Google Earth or Orthophoto
