STM_O_D_ID,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,MATERIAL,PURPOSE,USE,LOCATION,OWNER,QTR_PANEL,WIDTH,LENGTH,DEPTH,OUTLET_INV,SHAPE,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
919,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,Private,115B,24,,,167,Trapezoidal,0,3-06528,,20110624000000,,,20140219123803,
922,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,San Jose,69C,,,,,,0,MGE,DD-3269,,,,20140307154830,
923,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,99D,,,,127,V Channel,-1,3-10720/D,DD-3265,20040803000000,,20140312143113,20140312123035,
924,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,84B,,,,126.36,,-1,3-06839,,20081022000000,,20140318143200,20140318142818,TG is from 134.6 to 134.4
925,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,84B,,,,129.77,,-1,3-06839,,20081022000000,,20140318143228,20140318143041,TG is from 134.82 to 134.82
460,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221409,
461,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221410,
462,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221411,
463,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221412,
464,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-2,,20090128000000,,20110916122547,20110930221413,
465,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221414,
466,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221414,
467,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-1,,20090128000000,,20110916122547,20110930221415,
468,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-2,,20090128000000,,20110916122547,20110930221416,
469,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-2,,20090128000000,,20110916122547,20110930221417,
470,Swale,,,,EXISTING,EARTH,Interim,,PARK,San Jose,67B,,,,,,0,1-16_WATSON_PARK_C-DR-2,,20090128000000,,20110916122547,20110930221418,
128,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,128D,,,,,,0,MGE,,,,20111008142404,20111008160631,MRF:Waterflow can not confirm
9,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,98B,4,18,,,,0,MGE,,,,20110916122547,20110930221216,MRF:Waterflow can not confirm
10,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,98B,4,,,,,0,MGE,,,,20110916122547,20110930221216,MRF:Waterflow can not confirm
18,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,97C,3,,,,V Channel,0,MGE,,,,20110916122547,20110930221217,MRF:Waterflow can not confirm
121,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,128B,3,,,,V Channel,0,MGE,,,,20110916122547,20110930221217,MRF:Waterflow can not confirm
124,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,141A,3,,,,,0,MGE,,,,20110916122547,20110930221217,
151,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,19D,15,,,,,0,MGE,,,,20111008095646,20111008160632,
65,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,EASEMENT,San Jose,100B,5,,,,,0,MGE,,,,20111008143954,20111008160629,
132,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,141B,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221218,
974,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,,,2,139.5,Trapezoidal,-1,3-13012(A),,20090614000000,,,20140905162210,
976,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,,,2,139.5,Trapezoidal,-1,3-13012(A),,20090614000000,,20140905162419,20140905162315,
995,Valley Gutter,,,,EXISTING,Concrete,Permanent,STREET DRAIN,,Private,68B,48,202,,141.9,V Channel,-1,3-08157,,19900813000000,,,20141006095615,
1007,Swale,,,,EXISTING,Concrete,Permanent,STREET DRAIN,EASEMENT,San Jose,130A,,115,,,Rectangular,-1,TR5843,DD-3047,,,20150115133206,20150115132927,
936,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,101D,9,,,,V Channel,0,1-9039,,19990429000000,,20140422082850,20140422091515,material is cobblestone
928,French Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,83B,,,,,,0,3-07829,,19970122000000,,,20140326112437,"plan states feature is ""Slotted Drain Pipe"""
929,French Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,83B,,,,,,0,3-07829,,19970122000000,,,20140326115823,"plan states feature is ""Slotted Drain Pipe"""
930,French Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,83B,,,,,,0,3-07829,,19970122000000,,,20140326115825,"plan states feature is ""Slotted Drain Pipe"""
931,French Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,Private,83B,,,,,,0,3-07829,,19970122000000,,,20140326122111,"plan states feature is ""Slotted Drain Pipe"""
935,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,101D,9,,,,V Channel,0,1-9039,,19990429000000,,20140422082850,20140422082117,material is cobblestone
938,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,101D,9,,,,V Channel,0,1-9039,,19990429000000,,20140422082850,20140422091609,material is cobblestone
950,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,101B,,,,,,-1,3-16711C,,20140811000000,,,20140722074657,
952,Trench Drain,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,101B,,,,,,-1,3-16711C,,20140811000000,,,20140722075025,
968,Swale,,,,EXISTING,EARTH,Interim,,,Private,52C,2,80,,148.3,V Channel,-1,3-16901A,,20080412000000,,20140905081510,20140905082415,
969,Swale,,,,EXISTING,EARTH,Interim,,,Private,52C,2,75,,149.1,V Channel,-1,3-16901A,,20080412000000,,20140905082816,20140905081451,
970,Swale,,,,EXISTING,EARTH,Interim,,,Private,52C,2,65,,148.9,V Channel,-1,3-16901A,,20080412000000,,20140905082827,20140905082350,
971,Swale,,,,EXISTING,EARTH,Interim,,,Private,52C,2,60,,148.3,V Channel,-1,3-16901A,,20080412000000,,,20140905082749,
972,Swale,,,,EXISTING,EARTH,Interim,,,Private,52C,2,120,,145.7,V Channel,-1,3-16901A,,20080412000000,,,20140905084252,
945,Swale,Bio-treatment,,,EXISTING,DRN RCK PRF PIP,Permanent,OVERLAND RELEASE,,Private,35A,72,105,30,97.63,Trapezoidal,-1,MGE,3-11445H,,,20140616105803,20140616104414,
956,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,San Jose,68C,,,,,Half Round,0,MGE,DD-3279,,,,20140806145935,
957,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,San Jose,68C,,,,,Half Round,0,MGE,DD-3279,,,,20140806150121,
965,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,San Jose,141D,,,,,,0,MGE,DD-3288,,,,20140818112548,
932,Swale,,,,EXISTING,Concrete,Permanent,OVERLAND RELEASE,,San Jose,84C,,,,,,0,MGE,DD-3270,,,,20140411152847,
933,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,San Jose,51C,,,,,,0,MGE,DD-3271,,,,20140411160139,
934,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,,San Jose,51C,,,,,,0,MGE,DD-3271,,,,20140411160158,
977,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,2,,,139,Trapezoidal,-1,3-13012(A),,20090614000000,,,20140908101849,
979,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,2,,,137.7,Trapezoidal,-1,3-13012(A),,20090614000000,,20140908105723,20140908105508,
980,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,2,,,138.6,Trapezoidal,-1,3-13012(A),,20090614000000,,20140908105747,20140908105529,
981,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,2,,,137.3,Trapezoidal,-1,3-13012(A),,20090614000000,,20140908105747,20140908111234,
982,Swale,,,,EXISTING,Drain Rock,Permanent,OVERLAND RELEASE,,Private,100C,2,,,136.8,Trapezoidal,-1,3-13012(A),,20090614000000,,20140908105747,20140908112121,
