GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Residential Neighborhood,RN,,2.65,,"255, 255, 133",17,5601
Residential Neighborhood,RN,,2.16,,"255, 255, 133",17,5602
Neighborhood/Community Commercial,NCC,,4.5,,"255, 125, 189",7,5148
Neighborhood/Community Commercial,NCC,,3.89,,"255, 125, 189",7,5149
Neighborhood/Community Commercial,NCC,,3.36,,"255, 125, 189",7,5150
Residential Neighborhood,RN,,2.36,,"255, 255, 133",17,5680
Residential Neighborhood,RN,,2.14,,"255, 255, 133",17,5681
Residential Neighborhood,RN,,6.62,,"255, 255, 133",17,5321
Residential Neighborhood,RN,,6.41,,"255, 255, 133",17,5324
Residential Neighborhood,RN,,6.39,,"255, 255, 133",17,5325
Residential Neighborhood,RN,,6.17,,"255, 255, 133",17,5326
Residential Neighborhood,RN,,5.48,,"255, 255, 133",17,5931
Residential Neighborhood,RN,,0.36,,"255, 255, 133",17,5604
Neighborhood/Community Commercial,NCC,,6.21,Urban Village,"255, 125, 189",7,5605
Neighborhood/Community Commercial,NCC,,5.71,Urban Village,"255, 125, 189",7,5606
Neighborhood/Community Commercial,NCC,,3.03,,"255, 125, 189",7,5151
Residential Neighborhood,RN,,12.34,,"255, 255, 133",17,5152
Residential Neighborhood,RN,,10.39,,"255, 255, 133",17,5153
Residential Neighborhood,RN,,4.63,,"255, 255, 133",17,5154
Residential Neighborhood,RN,,4.51,,"255, 255, 133",17,5155
Residential Neighborhood,RN,,4.17,,"255, 255, 133",17,5156
"Open Space, Parklands and Habitat",OSPH,,1.82,,"96, 160, 0",22,5157
"Open Space, Parklands and Habitat",OSPH,,1.28,,"96, 160, 0",22,5158
Residential Neighborhood,RN,,13.41,,"255, 255, 133",17,5159
Residential Neighborhood,RN,,11.05,,"255, 255, 133",17,5160
Residential Neighborhood,RN,,9.99,,"255, 255, 133",17,5161
Residential Neighborhood,RN,,9.7,,"255, 255, 133",17,5162
Residential Neighborhood,RN,,9.34,,"255, 255, 133",17,5163
Residential Neighborhood,RN,,9.04,,"255, 255, 133",17,5164
Residential Neighborhood,RN,,8.23,,"255, 255, 133",17,5165
Residential Neighborhood,RN,,8.08,,"255, 255, 133",17,5166
Residential Neighborhood,RN,,8.02,,"255, 255, 133",17,5167
Residential Neighborhood,RN,,6.35,,"255, 255, 133",17,5168
Residential Neighborhood,RN,,5.07,,"255, 255, 133",17,5692
Residential Neighborhood,RN,,4.45,,"255, 255, 133",17,5693
Residential Neighborhood,RN,,3.67,,"255, 255, 133",17,5694
Residential Neighborhood,RN,,6.11,,"255, 255, 133",17,5327
Residential Neighborhood,RN,,6.08,,"255, 255, 133",17,5328
Residential Neighborhood,RN,,5.98,,"255, 255, 133",17,5329
Residential Neighborhood,RN,,5.97,,"255, 255, 133",17,5330
Neighborhood/Community Commercial,NCC,,2.09,Urban Village,"255, 125, 189",7,5607
Neighborhood/Community Commercial,NCC,,2.04,Urban Village,"255, 125, 189",7,5608
Residential Neighborhood,RN,,25.84,,"255, 255, 133",17,5612
Residential Neighborhood,RN,,5.42,,"255, 255, 133",17,5613
Residential Neighborhood,RN,,5.3,,"255, 255, 133",17,5614
Residential Neighborhood,RN,,4.08,,"255, 255, 133",17,5615
Residential Neighborhood,RN,,6.05,,"255, 255, 133",17,5169
Residential Neighborhood,RN,,5.39,,"255, 255, 133",17,5170
Residential Neighborhood,RN,,1.41,,"255, 255, 133",17,5171
Residential Neighborhood,RN,,8.63,,"255, 255, 133",17,5172
Residential Neighborhood,RN,,5.69,,"255, 255, 133",17,5173
Residential Neighborhood,RN,,1.01,,"255, 255, 133",17,5174
Residential Neighborhood,RN,,1.07,,"255, 255, 133",17,5701
Residential Neighborhood,RN,,0.66,,"255, 255, 133",17,5702
Residential Neighborhood,RN,,14.85,,"255, 255, 133",17,5703
Residential Neighborhood,RN,,3.21,,"255, 255, 133",17,5704
Residential Neighborhood,RN,,5.64,,"255, 255, 133",17,5331
Residential Neighborhood,RN,,5.45,,"255, 255, 133",17,5332
Residential Neighborhood,RN,,5.4,,"255, 255, 133",17,5333
Residential Neighborhood,RN,,5.38,,"255, 255, 133",17,5334
Residential Neighborhood,RN,,3.68,,"255, 255, 133",17,5616
Residential Neighborhood,RN,,3.58,,"255, 255, 133",17,5617
Residential Neighborhood,RN,,3.32,Urban Village,"255, 255, 133",17,5181
Mixed Use Neighborhood,MUN,,3.98,Urban Village,"207, 161, 22",16,5183
Residential Neighborhood,RN,,4.93,,"255, 255, 133",17,5721
Residential Neighborhood,RN,,4.65,,"255, 255, 133",17,5722
Residential Neighborhood,RN,,4.54,,"255, 255, 133",17,5723
Residential Neighborhood,RN,,4.51,,"255, 255, 133",17,5724
Residential Neighborhood,RN,,4.09,,"255, 255, 133",17,5725
Residential Neighborhood,RN,,8.04,,"255, 255, 133",17,5741
Residential Neighborhood,RN,,7.59,,"255, 255, 133",17,5742
Residential Neighborhood,RN,,6.86,,"255, 255, 133",17,5743
Residential Neighborhood,RN,,5.35,,"255, 255, 133",17,5335
Residential Neighborhood,RN,,4.91,,"255, 255, 133",17,5336
Residential Neighborhood,RN,,3.37,,"255, 255, 133",17,5618
Residential Neighborhood,RN,,3.06,,"255, 255, 133",17,5619
Residential Neighborhood,RN,,2.91,,"255, 255, 133",17,5620
Residential Neighborhood,RN,,2.51,,"255, 255, 133",17,5184
Residential Neighborhood,RN,,2.49,,"255, 255, 133",17,5185
Residential Neighborhood,RN,,2.43,,"255, 255, 133",17,5186
Residential Neighborhood,RN,,1.87,,"255, 255, 133",17,5187
Residential Neighborhood,RN,,3.43,,"255, 255, 133",17,5695
Residential Neighborhood,RN,,2.72,,"255, 255, 133",17,5696
Residential Neighborhood,RN,,4.89,,"255, 255, 133",17,5337
Residential Neighborhood,RN,,4.84,,"255, 255, 133",17,5338
Residential Neighborhood,RN,,4.51,,"255, 255, 133",17,5339
Residential Neighborhood,RN,,4.33,,"255, 255, 133",17,5343
Residential Neighborhood,RN,,3.79,,"255, 255, 133",17,5348
Residential Neighborhood,RN,,3.74,,"255, 255, 133",17,5350
Residential Neighborhood,RN,,2.7,,"255, 255, 133",17,5621
Residential Neighborhood,RN,,2.6,,"255, 255, 133",17,5622
Residential Neighborhood,RN,,2.59,,"255, 255, 133",17,5623
Residential Neighborhood,RN,,2.58,,"255, 255, 133",17,5624
Residential Neighborhood,RN,,6.18,,"255, 255, 133",17,8230
Residential Neighborhood,RN,,1.49,,"255, 255, 133",17,5188
Residential Neighborhood,RN,,1.2,,"255, 255, 133",17,5189
Residential Neighborhood,RN,,2.84,,"255, 255, 133",17,5705
Residential Neighborhood,RN,,1.25,,"255, 255, 133",17,5706
Residential Neighborhood,RN,,0.71,,"255, 255, 133",17,5707
Residential Neighborhood,RN,,13.51,,"255, 255, 133",17,5709
Residential Neighborhood,RN,,12.04,,"255, 255, 133",17,5710
Residential Neighborhood,RN,,9.61,,"255, 255, 133",17,5711
Residential Neighborhood,RN,,8.81,,"255, 255, 133",17,5712
Residential Neighborhood,RN,,6.65,,"255, 255, 133",17,5713
Residential Neighborhood,RN,,4.4,,"255, 255, 133",17,5340
Residential Neighborhood,RN,,4.39,,"255, 255, 133",17,5341
Residential Neighborhood,RN,,2.58,,"255, 255, 133",17,5625
Residential Neighborhood,RN,,2.21,,"255, 255, 133",17,5626
Residential Neighborhood,RN,,1.86,,"255, 255, 133",17,5627
Residential Neighborhood,RN,,2.71,,"255, 255, 133",17,5196
Residential Neighborhood,RN,,2.37,,"255, 255, 133",17,5198
Residential Neighborhood,RN,,1.95,,"255, 255, 133",17,5682
Residential Neighborhood,RN,,1.45,,"255, 255, 133",17,5683
Residential Neighborhood,RN,,1.33,,"255, 255, 133",17,5684
Residential Neighborhood,RN,,4.37,,"255, 255, 133",17,5342
Residential Neighborhood,RN,,4.2,,"255, 255, 133",17,5344
Residential Neighborhood,RN,,0.77,,"255, 255, 133",17,5628
Residential Neighborhood,RN,,3.55,,"255, 255, 133",17,5631
Residential Neighborhood,RN,,1.42,,"255, 255, 133",17,5632
Residential Neighborhood,RN,,1.81,,"255, 255, 133",17,5200
Residential Neighborhood,RN,,1.34,,"255, 255, 133",17,5203
Residential Neighborhood,RN,,1.34,,"255, 255, 133",17,5204
Residential Neighborhood,RN,,2.7,,"255, 255, 133",17,5697
Residential Neighborhood,RN,,2.69,,"255, 255, 133",17,5698
Residential Neighborhood,RN,,4.19,,"255, 255, 133",17,5345
Residential Neighborhood,RN,,4.14,,"255, 255, 133",17,5346
"Open Space, Parklands and Habitat",OSPH,,0.66,,"96, 160, 0",22,8229
Residential Neighborhood,RN,,0.6,,"255, 255, 133",17,5633
Residential Neighborhood,RN,,11.93,,"255, 255, 133",17,5638
Residential Neighborhood,RN,,10.9,,"255, 255, 133",17,5640
Residential Neighborhood,RN,,9.98,,"255, 255, 133",17,5641
Residential Neighborhood,RN,,6.94,,"255, 255, 133",17,5642
Residential Neighborhood,RN,,5.17,,"255, 255, 133",17,5646
Residential Neighborhood,RN,,0.97,,"255, 255, 133",17,5205
Residential Neighborhood,RN,,0.39,,"255, 255, 133",17,5206
Residential Neighborhood,RN,,0.33,,"255, 255, 133",17,5207
Residential Neighborhood,RN,,4.74,,"255, 255, 133",17,5209
Residential Neighborhood,RN,,1.83,,"255, 255, 133",17,5210
Residential Neighborhood,RN,,1.55,,"255, 255, 133",17,5211
Residential Neighborhood,RN,,1.54,,"255, 255, 133",17,5212
Residential Neighborhood,RN,,6.04,,"255, 255, 133",17,5714
Residential Neighborhood,RN,,5.8,,"255, 255, 133",17,5715
Residential Neighborhood,RN,,5.6,,"255, 255, 133",17,5716
Residential Neighborhood,RN,,5.58,,"255, 255, 133",17,5717
Residential Neighborhood,RN,,5.12,,"255, 255, 133",17,5718
Residential Neighborhood,RN,,5.11,,"255, 255, 133",17,5719
Residential Neighborhood,RN,,5.07,,"255, 255, 133",17,5720
Residential Neighborhood,RN,,4.06,,"255, 255, 133",17,5347
Residential Neighborhood,RN,,3.75,,"255, 255, 133",17,5349
Residential Neighborhood,RN,,6.17,,"255, 255, 133",17,5643
Residential Neighborhood,RN,,6.15,,"255, 255, 133",17,5644
Residential Neighborhood,RN,,1.09,,"255, 255, 133",17,5213
Residential Neighborhood,RN,,1.06,,"255, 255, 133",17,5214
Residential Neighborhood,RN,,3.11,,"255, 255, 133",17,5651
Residential Neighborhood,RN,,3.03,,"255, 255, 133",17,5652
Residential Neighborhood,RN,,2.9,,"255, 255, 133",17,5653
Residential Neighborhood,RN,,0.58,,"255, 255, 133",17,5654
Residential Neighborhood,RN,,0.95,,"255, 255, 133",17,5685
Residential Neighborhood,RN,,24.2,,"255, 255, 133",17,5686
Residential Neighborhood,RN,,12.13,,"255, 255, 133",17,5687
Residential Neighborhood,RN,,5.97,,"255, 255, 133",17,5688
Residential Neighborhood,RN,,5.86,,"255, 255, 133",17,5689
Residential Neighborhood,RN,,5.86,,"255, 255, 133",17,5690
Residential Neighborhood,RN,,5.78,,"255, 255, 133",17,5691
Residential Neighborhood,RN,,3.29,,"255, 255, 133",17,5351
Residential Neighborhood,RN,,3,,"255, 255, 133",17,5352
Residential Neighborhood,RN,,5.54,,"255, 255, 133",17,5645
Residential Neighborhood,RN,,4.63,,"255, 255, 133",17,5647
Residential Neighborhood,RN,,4.18,,"255, 255, 133",17,5648
Public/Quasi-Public,PQP,,22.9,,"209, 255, 240",12,5655
Public/Quasi-Public,PQP,,11.06,,"209, 255, 240",12,5656
Lower Hillside,LH,,128.13,,"248, 225, 206",19,5657
Lower Hillside,LH,,27.92,,"248, 225, 206",19,5658
Public/Quasi-Public,LH,,17.25,,"248, 225, 206",19,5659
Lower Hillside,LH,,13.4,,"248, 225, 206",19,5660
Lower Hillside,LH,,1.53,,"248, 225, 206",19,5661
Lower Hillside,LH,,1.35,,"248, 225, 206",19,5662
Residential Neighborhood,RN,,2.43,,"255, 255, 133",17,5699
Residential Neighborhood,RN,,1.9,,"255, 255, 133",17,5700
Residential Neighborhood,RN,,5.3,,"255, 255, 133",17,5423
Residential Neighborhood,RN,,5.25,,"255, 255, 133",17,5425
Residential Neighborhood,RN,,4.96,,"255, 255, 133",17,5429
Neighborhood/Community Commercial,NCC,,7.13,Urban Village,"255, 125, 189",7,5478
Neighborhood/Community Commercial,NCC,,2.18,Urban Village,"255, 125, 189",7,5479
Neighborhood/Community Commercial,NCC,,0.53,Urban Village,"255, 125, 189",7,5480
Residential Neighborhood,RN,,4.79,,"255, 255, 133",17,5932
Lower Hillside,LH,,22.96,,"248, 225, 206",19,5482
Lower Hillside,LH,,2.23,,"248, 225, 206",19,5483
Residential Neighborhood,RN,,5.67,,"255, 255, 133",17,5484
Residential Neighborhood,RN,,4.39,,"255, 255, 133",17,5485
"Open Space, Parklands and Habitat",OSPH,,6.79,,"96, 160, 0",22,5486
Residential Neighborhood,RN,,6.91,,"255, 255, 133",17,5229
Residential Neighborhood,RN,,6.75,,"255, 255, 133",17,5231
Residential Neighborhood,RN,,4.89,,"255, 255, 133",17,5430
Residential Neighborhood,RN,,4.88,,"255, 255, 133",17,5431
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,5432
Residential Neighborhood,RN,,4.64,,"255, 255, 133",17,5433
Residential Neighborhood,RN,,4.53,,"255, 255, 133",17,5434
Residential Neighborhood,RN,,4.44,,"255, 255, 133",17,5435
Residential Neighborhood,RN,,4.37,,"255, 255, 133",17,5436
Residential Neighborhood,RN,,4.16,,"255, 255, 133",17,5438
Lower Hillside,LH,,34.85,,"248, 225, 206",19,5481
Neighborhood/Community Commercial,NCC,,1.32,Urban Village,"255, 125, 189",7,5488
Neighborhood/Community Commercial,NCC,,0.65,Urban Village,"255, 125, 189",7,5489
Residential Neighborhood,RN,,3.56,,"255, 255, 133",17,5130
Neighborhood/Community Commercial,NCC,,6.34,Urban Village,"255, 125, 189",7,5487
Residential Neighborhood,RN,,6.61,,"255, 255, 133",17,5232
Residential Neighborhood,RN,,6.37,,"255, 255, 133",17,5235
Residential Neighborhood,RN,,4.23,,"255, 255, 133",17,5437
Residential Neighborhood,RN,,4.13,,"255, 255, 133",17,5439
Residential Neighborhood,RN,,4.04,,"255, 255, 133",17,5440
Residential Neighborhood,RN,,3.95,,"255, 255, 133",17,5441
Residential Neighborhood,RN,,3.9,,"255, 255, 133",17,5442
Residential Neighborhood,RN,,3.5,,"255, 255, 133",17,5449
Mixed Use Neighborhood,MUN,,5.3,,"207, 161, 22",16,5491
Mixed Use Neighborhood,MUN,,2.16,,"207, 161, 22",16,5492
Mixed Use Neighborhood,MUN,,0.98,,"207, 161, 22",16,5493
Mixed Use Neighborhood,MUN,,0.74,,"207, 161, 22",16,5494
"Open Space, Parklands and Habitat",OSPH,,28.99,,"96, 160, 0",22,5495
"Open Space, Parklands and Habitat",OSPH,,6.27,,"96, 160, 0",22,5496
Mixed Use Neighborhood,MUN,,12.07,,"207, 161, 22",16,5497
Mixed Use Neighborhood,MUN,,0.81,,"207, 161, 22",16,5502
Residential Neighborhood,RN,,14.44,,"255, 255, 133",17,5503
Residential Neighborhood,RN,,6.15,,"255, 255, 133",17,5237
Residential Neighborhood,RN,,6.09,,"255, 255, 133",17,5238
Residential Neighborhood,RN,,5.97,,"255, 255, 133",17,5239
Residential Neighborhood,RN,,5.64,,"255, 255, 133",17,5240
Residential Neighborhood,RN,,5.63,,"255, 255, 133",17,5241
Residential Neighborhood,RN,,5.47,,"255, 255, 133",17,5242
Residential Neighborhood,RN,,5.14,,"255, 255, 133",17,5246
Residential Neighborhood,RN,,3.88,,"255, 255, 133",17,5443
Residential Neighborhood,RN,,3.77,,"255, 255, 133",17,5444
Residential Neighborhood,RN,,4.41,,"255, 255, 133",17,5544
Residential Neighborhood,RN,,4.4,,"255, 255, 133",17,5545
Mixed Use Neighborhood,MUN,,11.65,,"207, 161, 22",16,5498
Mixed Use Neighborhood,MUN,,10.26,,"207, 161, 22",16,5499
Residential Neighborhood,RN,,11.2,,"255, 255, 133",17,5504
Residential Neighborhood,RN,,5.46,,"255, 255, 133",17,5243
Residential Neighborhood,RN,,5.35,,"255, 255, 133",17,5244
Residential Neighborhood,RN,,4.95,,"255, 255, 133",17,5247
Residential Neighborhood,RN,,4.72,,"255, 255, 133",17,5252
Residential Neighborhood,RN,,4.67,,"255, 255, 133",17,5253
Residential Neighborhood,RN,,3.74,,"255, 255, 133",17,5445
Residential Neighborhood,RN,,3.7,,"255, 255, 133",17,5446
Residential Neighborhood,RN,,3.7,,"255, 255, 133",17,5549
Residential Neighborhood,RN,,3.59,,"255, 255, 133",17,5550
Residential Neighborhood,RN,,8.81,,"255, 255, 133",17,5562
Residential Neighborhood,RN,,8.14,,"255, 255, 133",17,5563
Residential Neighborhood,RN,,5.44,,"255, 255, 133",17,5566
Residential Neighborhood,RN,,3.78,,"255, 255, 133",17,5567
Mixed Use Neighborhood,MUN,,9.25,,"207, 161, 22",16,5500
Mixed Use Neighborhood,MUN,,7.05,,"207, 161, 22",16,5501
Residential Neighborhood,RN,,9.88,,"255, 255, 133",17,5505
Residential Neighborhood,RN,,9.03,,"255, 255, 133",17,5506
Residential Neighborhood,RN,,7.3,,"255, 255, 133",17,5507
Residential Neighborhood,RN,,5.31,,"255, 255, 133",17,5245
Residential Neighborhood,RN,,4.94,,"255, 255, 133",17,5248
Residential Neighborhood,RN,,3.64,,"255, 255, 133",17,5447
Residential Neighborhood,RN,,3.62,,"255, 255, 133",17,5448
Residential Neighborhood,RN,,3.49,,"255, 255, 133",17,5551
Residential Neighborhood,RN,,3.48,,"255, 255, 133",17,5552
Residential Neighborhood,RN,,6.54,,"255, 255, 133",17,5508
Residential Neighborhood,RN,,5.89,,"255, 255, 133",17,5509
Mixed Use Neighborhood,MUN,,6.15,,"207, 161, 22",16,7790
Residential Neighborhood,RN,,4.87,,"255, 255, 133",17,5249
Residential Neighborhood,RN,,4.83,,"255, 255, 133",17,5250
Residential Neighborhood,RN,,3.47,,"255, 255, 133",17,5450
Residential Neighborhood,RN,,3.44,,"255, 255, 133",17,5451
Residential Neighborhood,RN,,3.44,,"255, 255, 133",17,5452
Residential Neighborhood,RN,,3.26,,"255, 255, 133",17,5553
Residential Neighborhood,RN,,3.14,,"255, 255, 133",17,5554
Residential Neighborhood,RN,,5.23,,"255, 255, 133",17,5510
Residential Neighborhood,RN,,4.66,,"255, 255, 133",17,5511
Residential Neighborhood,RN,,4.31,,"255, 255, 133",17,5512
Residential Neighborhood,RN,,4.05,,"255, 255, 133",17,5513
Residential Neighborhood,RN,,4.8,,"255, 255, 133",17,5251
Residential Neighborhood,RN,,4.53,,"255, 255, 133",17,5254
Residential Neighborhood,RN,,4.43,,"255, 255, 133",17,5255
Residential Neighborhood,RN,,4.3,,"255, 255, 133",17,5257
Residential Neighborhood,RN,,3.37,,"255, 255, 133",17,5453
Residential Neighborhood,RN,,3.26,,"255, 255, 133",17,5454
Residential Neighborhood,RN,,3.22,,"255, 255, 133",17,5455
Residential Neighborhood,RN,,3.07,,"255, 255, 133",17,5456
Residential Neighborhood,RN,,2.33,,"255, 255, 133",17,5465
Residential Neighborhood,RN,,7.14,,"255, 255, 133",17,9392
Residential Neighborhood,RN,,2.98,,"255, 255, 133",17,5555
Residential Neighborhood,RN,,2.52,,"255, 255, 133",17,5556
Residential Neighborhood,RN,,3.91,,"255, 255, 133",17,5514
Residential Neighborhood,RN,,3.77,,"255, 255, 133",17,5515
Residential Neighborhood,RN,,3.54,,"255, 255, 133",17,5516
Residential Neighborhood,RN,,3.37,,"255, 255, 133",17,5517
Residential Neighborhood,RN,,4.33,,"255, 255, 133",17,5256
Residential Neighborhood,RN,,4.01,,"255, 255, 133",17,5258
Residential Neighborhood,RN,,3.94,,"255, 255, 133",17,5259
Residential Neighborhood,RN,,3.81,,"255, 255, 133",17,5260
Residential Neighborhood,RN,,3.71,,"255, 255, 133",17,5261
Residential Neighborhood,RN,,9.13,,"255, 255, 133",17,9388
Residential Neighborhood,RN,,2.96,,"255, 255, 133",17,5457
Residential Neighborhood,RN,,2.87,,"255, 255, 133",17,5458
Residential Neighborhood,RN,,1.75,,"255, 255, 133",17,5557
Residential Neighborhood,RN,,0.52,,"255, 255, 133",17,5558
Residential Neighborhood,RN,,7.71,,"255, 255, 133",17,5564
Residential Neighborhood,RN,,2.23,,"255, 255, 133",17,5518
Residential Neighborhood,RN,,1.98,,"255, 255, 133",17,5519
Residential Neighborhood,RN,,1.46,,"255, 255, 133",17,5520
Residential Neighborhood,RN,,23.28,,"255, 255, 133",17,5521
Residential Neighborhood,RN,,15.68,,"255, 255, 133",17,5522
Residential Neighborhood,RN,,12.74,,"255, 255, 133",17,5523
Residential Neighborhood,RN,,2.97,,"255, 255, 133",17,5262
Residential Neighborhood,RN,,1.84,,"255, 255, 133",17,5263
Residential Neighborhood,RN,,1.81,,"255, 255, 133",17,5264
Residential Neighborhood,RN,,2.84,,"255, 255, 133",17,5459
Residential Neighborhood,RN,,2.84,,"255, 255, 133",17,5460
Residential Neighborhood,RN,,6.05,,"255, 255, 133",17,5565
Residential Neighborhood,RN,,3.74,,"255, 255, 133",17,5568
Residential Neighborhood,RN,,10.51,,"255, 255, 133",17,5524
Residential Neighborhood,RN,,9.45,,"255, 255, 133",17,5525
Residential Neighborhood,RN,,8.08,,"255, 255, 133",17,5526
Residential Neighborhood,RN,,7.57,,"255, 255, 133",17,5527
Residential Neighborhood,RN,,7.57,,"255, 255, 133",17,5528
Residential Neighborhood,RN,,7.06,,"255, 255, 133",17,5529
Residential Neighborhood,RN,,1.8,,"255, 255, 133",17,5265
Residential Neighborhood,RN,,1.73,,"255, 255, 133",17,5266
Residential Neighborhood,RN,,1.16,,"255, 255, 133",17,5267
Residential Neighborhood,RN,,8.83,,"255, 255, 133",17,9389
Residential Neighborhood,RN,,7.5,,"255, 255, 133",17,9390
Residential Neighborhood,RN,,7.21,,"255, 255, 133",17,9391
Residential Neighborhood,RN,,2.83,,"255, 255, 133",17,5461
Residential Neighborhood,RN,,2.82,,"255, 255, 133",17,5462
Residential Neighborhood,RN,,2.23,,"255, 255, 133",17,5569
Rural Residential,RR,,29.82,,"255, 255, 208",18,5570
Rural Residential,RR,,27.22,,"255, 255, 208",18,5571
Rural Residential,RR,,25.48,,"255, 255, 208",18,5572
Rural Residential,RR,,22.95,,"255, 255, 208",18,5573
Rural Residential,RR,,11.92,,"255, 255, 208",18,5574
Rural Residential,RR,,8.45,,"255, 255, 208",18,5575
Rural Residential,RR,,6.41,,"255, 255, 208",18,5576
Rural Residential,RR,,4.9,,"255, 255, 208",18,5577
Rural Residential,RR,,4.79,,"255, 255, 208",18,5578
Residential Neighborhood,RN,,6.96,,"255, 255, 133",17,5530
Residential Neighborhood,RN,,6.77,,"255, 255, 133",17,5531
Residential Neighborhood,RN,,6.36,,"255, 255, 133",17,5532
Residential Neighborhood,RN,,6.07,,"255, 255, 133",17,5533
Residential Neighborhood,RN,,0.91,,"255, 255, 133",17,5268
Residential Neighborhood,RN,,9.48,,"255, 255, 133",17,5561
Residential Neighborhood,RN,,23.66,,"255, 255, 133",17,5374
Residential Neighborhood,RN,,16.99,,"255, 255, 133",17,5375
Residential Neighborhood,RN,,15.57,,"255, 255, 133",17,5376
Residential Neighborhood,RN,,14.73,,"255, 255, 133",17,5377
Residential Neighborhood,RN,,14.16,,"255, 255, 133",17,5378
Residential Neighborhood,RN,,13.95,,"255, 255, 133",17,5379
Residential Neighborhood,RN,,12.14,,"255, 255, 133",17,5380
Residential Neighborhood,RN,,11.67,,"255, 255, 133",17,5381
Residential Neighborhood,RN,,11.24,,"255, 255, 133",17,5382
Residential Neighborhood,RN,,10.57,,"255, 255, 133",17,5383
Residential Neighborhood,RN,,10.47,,"255, 255, 133",17,5384
Residential Neighborhood,RN,,9.94,,"255, 255, 133",17,5385
Residential Neighborhood,RN,,8.95,,"255, 255, 133",17,5386
Residential Neighborhood,RN,,8.79,,"255, 255, 133",17,5387
Residential Neighborhood,RN,,2.81,,"255, 255, 133",17,5463
Residential Neighborhood,RN,,2.43,,"255, 255, 133",17,5464
Rural Residential,RR,,4.57,,"255, 255, 208",18,5579
Rural Residential,RR,,4.06,,"255, 255, 208",18,5580
Rural Residential,RR,,2.73,,"255, 255, 208",18,5581
Rural Residential,RR,,1.93,,"255, 255, 208",18,5582
Residential Neighborhood,RN,,6.01,,"255, 255, 133",17,5534
Residential Neighborhood,RN,,5.74,,"255, 255, 133",17,5535
Residential Neighborhood,RN,,5.61,,"255, 255, 133",17,5536
Residential Neighborhood,RN,,5.35,,"255, 255, 133",17,5538
Residential Neighborhood,RN,,4.3,,"255, 255, 133",17,5546
Residential Neighborhood,RN,,8.77,,"255, 255, 133",17,5388
Residential Neighborhood,RN,,8.07,,"255, 255, 133",17,5389
Residential Neighborhood,RN,,8.06,,"255, 255, 133",17,5390
Residential Neighborhood,RN,,7.89,,"255, 255, 133",17,5391
Residential Neighborhood,RN,,7.77,,"255, 255, 133",17,5392
Residential Neighborhood,RN,,7.72,,"255, 255, 133",17,5393
Residential Neighborhood,RN,,7.69,,"255, 255, 133",17,5394
Residential Neighborhood,RN,,7.63,,"255, 255, 133",17,5395
Residential Neighborhood,RN,,7.4,,"255, 255, 133",17,5396
Residential Neighborhood,RN,,7.12,,"255, 255, 133",17,5397
Residential Neighborhood,RN,,7.08,,"255, 255, 133",17,5398
Residential Neighborhood,RN,,7,,"255, 255, 133",17,5399
Residential Neighborhood,RN,,6.96,,"255, 255, 133",17,5400
Residential Neighborhood,RN,,6.84,,"255, 255, 133",17,5401
Residential Neighborhood,RN,,6.84,,"255, 255, 133",17,5402
Residential Neighborhood,RN,,6.5,,"255, 255, 133",17,5403
Residential Neighborhood,RN,,6.37,,"255, 255, 133",17,5404
Residential Neighborhood,RN,,6.28,,"255, 255, 133",17,5405
Neighborhood/Community Commercial,NCC,,24.21,,"255, 125, 189",7,9374
Residential Neighborhood,RN,,2.33,,"255, 255, 133",17,5466
Residential Neighborhood,RN,,2.2,,"255, 255, 133",17,5467
Rural Residential,RR,,1.48,,"255, 255, 208",18,5583
Rural Residential,RR,,0.86,,"255, 255, 208",18,5584
Residential Neighborhood,RN,,15.02,,"255, 255, 133",17,5585
Residential Neighborhood,RN,,13.93,,"255, 255, 133",17,5586
Residential Neighborhood,RN,,8.67,,"255, 255, 133",17,5587
Residential Neighborhood,RN,,5.59,,"255, 255, 133",17,5537
Residential Neighborhood,RN,,5.33,,"255, 255, 133",17,5539
Residential Neighborhood,RN,,6.26,,"255, 255, 133",17,5406
Residential Neighborhood,RN,,6.23,,"255, 255, 133",17,5407
Residential Neighborhood,RN,,6.16,,"255, 255, 133",17,5408
Residential Neighborhood,RN,,6.07,,"255, 255, 133",17,5409
Residential Neighborhood,RN,,5.98,,"255, 255, 133",17,5410
Residential Neighborhood,RN,,5.92,,"255, 255, 133",17,5411
Residential Neighborhood,RN,,5.69,,"255, 255, 133",17,5413
Residential Neighborhood,RN,,5.66,,"255, 255, 133",17,5415
Residential Neighborhood,RN,,5.62,,"255, 255, 133",17,5418
Residential Neighborhood,RN,,5.59,,"255, 255, 133",17,5419
Residential Neighborhood,RN,,1.62,,"255, 255, 133",17,5468
Residential Neighborhood,RN,,1.4,,"255, 255, 133",17,5469
Residential Neighborhood,RN,,1.2,,"255, 255, 133",17,5470
Residential Neighborhood,RN,,1.13,,"255, 255, 133",17,5471
Residential Neighborhood,RN,,6.08,,"255, 255, 133",17,9393
Residential Neighborhood,RN,,5.5,,"255, 255, 133",17,9395
Residential Neighborhood,RN,,8.26,,"255, 255, 133",17,5588
Residential Neighborhood,RN,,8.23,,"255, 255, 133",17,5589
Residential Neighborhood,RN,,5.13,,"255, 255, 133",17,5540
